#User	Dir	Cellname	Size	Nets	Transistors	Runtime	Memory	RequestedMemory
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	19	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	63.295	796	8909	38	518.805	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.261	64	272	1	350.730	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.260	64	272	0	350.719	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.260	64	272	1	350.723	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.390	64	272	1	352.734	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.390	64	272	1	352.652	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.388	64	272	0	352.688	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.390	64	272	0	352.691	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.388	64	272	1	352.727	NA
sudesdas	/import/siete-sca-tech1/sudesdas/st_cdmspp/customs/misc/st_vsm_com_cust_l/st_vsm_com_cust_lvsh4b_data_6x/sigem/sigem	st_vsm_com_cust_lvsh4b_data_6x	1.388	64	272	1	352.688	NA
ssliu	/import/siete-cpu-int1/INT/sha_cdms/chips/siete/cpu/st_rpt_l/st_rptr_hm7_72x_47/sigem/sigem/sigem	st_rptr_hm7_72x_47	1.071	94	0	4	375.598	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/LibraryCells/cl_u1ulvt20_mux5_24x/sigem	cl_u1ulvt20_mux5_24x	0.402	24	55	0	347.758	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2686.927	93637	276896	446	5142.668	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2686.482	93637	276812	446	5141.777	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1729.903	92419	275323	318	3585.598	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1729.815	92421	275349	299	3585.383	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2685.970	93637	276896	772	5141.785	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1729.790	92419	275323	312	3585.352	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1647.319	92471	274678	505	3466.789	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1666.947	93763	281599	302	3504.715	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1648.177	93639	276426	308	3474.473	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1644.684	92643	278457	517	3471.680	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2685.456	93637	276896	454	5140.793	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1588.773	92026	274014	365	3386.105	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2674.057	92819	276321	450	5123.078	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2685.964	93637	276896	459	5141.770	NA
